Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_032754.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Shahe narna-like virus 1,,,RNA,3209,RefSeq,complete,,,1,China,China,,Termitoidae,,2013,,"Shahe narna-like virus 1 strain SHWC0209c12582 RNA-dependent RNA polymerase gene, complete cds"
NC_032755.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Changjiang picorna-like virus 3,,,RNA,9316,RefSeq,complete,,,1,China,China,,Astacoidea,,2014,,"Changjiang picorna-like virus 3 strain CJLX28786 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032756.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 40,,,RNA,8842,RefSeq,complete,,,1,China,China,,Scutigera coleoptrata,,2013,,"Hubei picorna-like virus 40 strain WHYY23452 hypothetical protein gene, complete cds"
NC_032757.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 15,,,RNA,9910,RefSeq,complete,,,1,China,China,,Arthropoda,,2013,,"Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032758.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei tick virus 2,,,RNA,9660,RefSeq,complete,,,1,China,China,,Ixodida,,2013,,"Hubei tick virus 2 strain tick109131 hypothetical protein gene, complete cds"
NC_032759.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 56,,,RNA,10129,RefSeq,complete,,,1,China,China,,Diptera,,2013,,"Hubei picorna-like virus 56 strain SCM49537 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032760.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Beihai sphaeromadae virus 2,,,RNA,3518,RefSeq,complete,,,1,China,China,,Thoracica,,2014,,"Beihai sphaeromadae virus 2 strain BHTSS26432 hypothetical protein gene, complete cds"
NC_032761.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Changjiang picorna-like virus 4,,,RNA,8923,RefSeq,complete,,,1,China,China,,Astacoidea,,2014,,"Changjiang picorna-like virus 4 strain CJLX29654 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032762.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Shahe narna-like virus 5,,,RNA,1684,RefSeq,complete,,,1,China,China,,Termitoidae,,2013,,"Shahe narna-like virus 5 strain SHWC0209c20055 RNA-dependent RNA polymerase gene, complete cds"
NC_032763.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Decronivirus 1,Charybnivirus,Euroniviridae,ssRNA(+),24854,RefSeq,complete,,,1,China,China,,Crustacea,,2014,,"Wenling nido-like virus 1 strain WLJQ99370 hypothetical protein, putative glycoprotein 1, and putative glycoprotein 2 genes, complete cds"
NC_032764.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei tick virus 1,,,RNA,9487,RefSeq,complete,,,1,China,China,,Ixodida,,2013,,"Hubei tick virus 1 strain tick109202 hypothetical protein gene, complete cds"
NC_032765.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei virga-like virus 9,,,RNA,10976,RefSeq,complete,,,1,China,China,,Diptera,,2013,,"Hubei virga-like virus 9 strain SCM51642 RdRp, hypothetical protein, putative capsid protein, and hypothetical protein genes, complete cds"
NC_032766.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei orthoptera virus 1,,,RNA,9555,RefSeq,complete,,,1,China,China,,Orthoptera,,2013,,"Hubei orthoptera virus 1 strain ZCM21319 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032767.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei tombus-like virus 40,,,RNA,3498,RefSeq,complete,,,1,China,China,,Coleoptera,,2013,,"Hubei tombus-like virus 40 strain QCM118690 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032768.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei tombus-like virus 9,,,RNA,3501,RefSeq,complete,,,1,China,China,,Siluridae,,2014,,"Hubei tombus-like virus 9 strain WHBL63242 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032769.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 42,,,RNA,9129,RefSeq,complete,,,1,China,China,,Arthropoda,,2013,,"Hubei picorna-like virus 42 strain arthropodmix13971 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032770.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 36,,,RNA,9856,RefSeq,complete,,,1,China,China,,Diptera,,2013,,"Hubei picorna-like virus 36 strain SCM50248 hypothetical protein gene, complete cds"
NC_032771.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 49,,,RNA,9773,RefSeq,complete,,,1,China,China,,Myriapoda,,2013,,"Hubei picorna-like virus 49 strain WGML112833 hypothetical protein gene, complete cds"
NC_032772.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 12,,,RNA,9598,RefSeq,complete,,,1,China,China,,Ascaris suum,,2014,,"Hubei picorna-like virus 12 strain WHZHC35617 hypothetical protein gene, complete cds"
NC_032773.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Changjiang picorna-like virus 14,,,RNA,9296,RefSeq,complete,,,1,China,China,,Astacoidea,,2014,,"Changjiang picorna-like virus 14 strain CJLX29953 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032774.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei diptera virus 1,,,RNA,8860,RefSeq,complete,,,1,China,China,,Diptera,,2013,,"Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032775.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei tombus-like virus 33,,,RNA,4193,RefSeq,complete,,,1,China,China,,Siluridae,,2014,,"Hubei tombus-like virus 33 strain WHBL67076 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032776.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 29,,,RNA,10308,RefSeq,complete,,,1,China,China,,Arthropoda,,2013,,"Hubei picorna-like virus 29 strain arthropodmix14031 hypothetical protein gene, complete cds"
NC_032777.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 70,,,RNA,10429,RefSeq,complete,,,1,China,China,,Myriapoda,,2013,,"Hubei picorna-like virus 70 strain WGML134035 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_032778.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 11,,,RNA,8974,RefSeq,complete,,,1,China,China,,Ascaris suum,,2014,,"Hubei picorna-like virus 11 strain WHZHC53090 hypothetical protein gene, complete cds"
NC_032779.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Changjiang picorna-like virus 12,,,RNA,8774,RefSeq,complete,,,1,China,China,,Astacoidea,,2014,,"Changjiang picorna-like virus 12 strain CJLX29956 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032780.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 16,,,RNA,9100,RefSeq,complete,,,1,China,China,,Diptera,,2013,,"Hubei picorna-like virus 16 strain SCM51353 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032781.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Zhejiang alphacrustrhavirus,Alphacrustrhavirus,Rhabdoviridae,ssRNA(-),11560,RefSeq,complete,,,1,China,China,,Crustacea,,2014,,"Wenling crustacean virus 11 strain WLJQ201798 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds"
NC_032782.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei tombus-like virus 7,,,RNA,5082,RefSeq,complete,,,1,China,China,,Siluridae,,2014,,"Hubei tombus-like virus 7 strain WHBL69243 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032783.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubramonavirus hubeiense,Hubramonavirus,Mymonaviridae,ssRNA(-),10003,RefSeq,complete,,,1,China,China,,Arthropoda,,2013,,"Hubei rhabdo-like virus 4 strain arthropodmix13990 hypothetical protein 1, hypothetical protein 2, and RNA-dependent RNA polymerase genes, complete cds"
NC_032784.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Wenzhou shrimp virus 3,,,RNA,10472,RefSeq,complete,,,1,China,China,,Caridea,,2013,,"Wenzhou shrimp virus 3 strain shrimp12824 replicase, hypothetical protein, putative structural protein, and hypothetical protein genes, complete cds"
NC_032785.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Shahe sobemo-like virus 1,,,RNA,3593,RefSeq,complete,,,1,China,China,,Arthropoda,,2013,,"Shahe sobemo-like virus 1 strain SHWCII5101 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032786.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Beihai victori-like virus 1,,,RNA,4755,RefSeq,complete,,,1,China,China,,Ensis minor,,2014,,"Beihai victori-like virus 1 strain BHZC37363 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032787.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Beihai tombus-like virus 16,,,RNA,4822,RefSeq,complete,,,1,China,China,,Penaeidae,,2014,,"Beihai tombus-like virus 16 strain BHWZXX15284 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032788.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Changjiang picorna-like virus 2,,,RNA,7171,RefSeq,complete,,,1,China,China,,Astacoidea,,2014,,"Changjiang picorna-like virus 2 strain CJLX30436 hypothetical protein gene, complete cds"
NC_032789.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei tombus-like virus 25,,,RNA,4209,RefSeq,complete,,,1,China,China,,Siluridae,,2014,,"Hubei tombus-like virus 25 strain WHBL69613 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032790.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 39,,,RNA,8821,RefSeq,complete,,,1,China,China,,Diptera,,2013,,"Hubei picorna-like virus 39 strain SCM51450 hypothetical protein gene, complete cds"
NC_032791.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Wenling picorna-like virus 3,,,RNA,10236,RefSeq,complete,,,1,China,China,,Crustacea,,2014,,"Wenling picorna-like virus 3 strain WLJQ100015 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032792.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Shahe narna-like virus 2,,,RNA,3375,RefSeq,complete,,,1,China,China,,Termitoidae,,2013,,"Shahe narna-like virus 2 strain SHWC0209c12594 RNA-dependent RNA polymerase gene, complete cds"
NC_032793.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Wenling crustavirus,Crustavirus,Nyamiviridae,ssRNA(-),7447,RefSeq,complete,,,1,China,China,,Crustacea,,2014,,"Wenling crustacean virus 12 strain WLJQ47777 putative nucleoprotein, hypothetical protein, and RNA-dependent RNA polymerase genes, complete cds"
NC_032794.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Changjiang picorna-like virus 6,,,RNA,8489,RefSeq,complete,,,1,China,China,,Astacoidea,,2014,,"Changjiang picorna-like virus 6 strain CJLX30470 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032795.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei tetragnatha maxillosa virus 1,,,RNA,8601,RefSeq,complete,,,1,China,China,,Arthropoda,,2013,,"Hubei tetragnatha maxillosa virus 1 strain arthropodmix23158 hypothetical protein gene, complete cds"
NC_032796.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Shahe narna-like virus 7,,,RNA,2281,RefSeq,complete,,,1,China,China,,Termitoidae,,2013,,"Shahe narna-like virus 7 strain SHWC0209c12713 RNA-dependent RNA polymerase gene, complete cds"
NC_032797.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei picorna-like virus 73,,,RNA,10912,RefSeq,complete,,,1,China,China,,Myriapoda,,2013,,"Hubei picorna-like virus 73 strain WGML140238 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032798.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Shahe endorna-like virus 1,,,RNA,15783,RefSeq,complete,,,1,China,China,,Termitoidae,,2013,,"Shahe endorna-like virus 1 strain SHWC0209c12790 hypothetical protein gene, complete cds"
NC_032799.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Wenling picorna-like virus 4,,,RNA,8837,RefSeq,complete,,,1,China,China,,Crustacea,,2014,,"Wenling picorna-like virus 4 strain WLJQ100990 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032800.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Hubei arthropod virus 1,,,RNA,9539,RefSeq,complete,,,1,China,China,,Arthropoda,,2014,,"Hubei arthropod virus 1 strain arthropodmix4509 hypothetical protein gene, complete cds"
NC_032801.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Changjiang crawfish virus 6,,,RNA,9743,RefSeq,complete,,,1,China,China,,Astacoidea,,2014,,"Changjiang crawfish virus 6 strain CJLX30496 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032802.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Taceavirus wenlingense,Taceavirus,Chuviridae,ssRNA(-),11119,RefSeq,complete,,,1,China,China,,Crustacea,,2014,,"Wenling crustacean virus 15 strain WLJQ91782 RNA-dependent RNA polymrease, putative glycoprotein, and hypothetical protein genes, complete cds"
NC_032803.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Wenling picorna-like virus 1,,,RNA,9155,RefSeq,complete,,,1,China,China,,Crustacea,,2014,,"Wenling picorna-like virus 1 strain WLJQ101464 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032804.1,,"Galinier,R., Tetreau,G., Portet,A., Pinaud,S., Duval,D., Gourbal,B., Dheilly,N.M.",2017-01-17T00:00:00Z,Brazil,Biomphalaria virus 1,,,ssRNA(+),10140,RefSeq,complete,,,1,Brazil: Recife,Brazil,,Biomphalaria glabrata,,2012-06-06,,"Biomphalaria virus 1 isolate Brazil, complete genome"
NC_032805.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-17T00:00:00Z,,Beihai sobemo-like virus 15,,,RNA,3507,RefSeq,complete,,,1,China,China,,Penaeidae,,2014,,"Beihai sobemo-like virus 15 strain BHBJDX18383 hypothetical protein genes, complete cds"
