Accession,Species,Genus,Family
NC_052927.1,Quaranjavirus johnstonense,Quaranjavirus,Orthomyxoviridae
NC_055829.1,Thalassavirus bennett,Thalassavirus,Demerecviridae
NC_031312.1,Orthophasmavirus aedis,Orthophasmavirus,Phasmaviridae
NC_025255.1,Vesiculovirus maraba,Vesiculovirus,Rhabdoviridae
NC_076644.1,Sclerotium rolfsii hypovirus 5,Hypovirus,Hypoviridae
NC_021926.1,Alphacarmovirus calibrachoae,Alphacarmovirus,Tombusviridae
NC_076257.1,Porcine associated porprismacovirus,Porprismacovirus,Smacoviridae
NC_029026.1,Kochikohdavirus EFLK1,Kochikohdavirus,Herelleviridae
NC_004807.1,Aparavirus kashmirense,Aparavirus,Dicistroviridae
NC_001663.2,Alphapolyomavirus mauratus,Alphapolyomavirus,Polyomaviridae
NC_040578.1,Canine papillomavirus 21,Taupapillomavirus,Papillomaviridae
NC_073856.1,Samuneavirus asiocola,Samuneavirus,Duinviridae
NC_012561.1,Highlands J virus,Alphavirus,Togaviridae
NC_034546.1,Tibrovirus sweetwater,Tibrovirus,Rhabdoviridae
NC_073764.1,Apihcavirus borborovicinum,Apihcavirus,Atkinsviridae
NC_008177.1,Micromonas pusilla reovirus,Mimoreovirus,Sedoreoviridae
NC_043039.1,Insect inshuvirus,Inshuvirus,Phasmaviridae
NC_073888.1,Brudgevirus borborovivens,Brudgevirus,Fiersviridae
NC_043387.1,Cheravirus pruni,Cheravirus,Secoviridae
NC_033739.1,Badnavirus venatheobromae,Badnavirus,Caulimoviridae
NC_077842.1,Mammalian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_076902.1,Potyvirus achyranthis,Potyvirus,Potyviridae
NC_028762.1,Bragavirus pm5461,Bragavirus,Straboviridae
NC_038914.1,Gammapapillomavirus 25,Gammapapillomavirus,Papillomaviridae
NC_018874.1,Aurivirus haliotidmalaco1,Aurivirus,Malacoherpesviridae
NC_055543.1,Hybanthus yellow mosaic virus,Begomovirus,Geminiviridae
NC_026615.1,Tamarillo leaf malformation virus,Potyvirus,Potyviridae
NC_074989.1,Momordica yellow mosaic betasatellite,Betasatellite,Tolecusatellitidae
NC_076406.1,Gemycircularvirus opunt1,Gemycircularvirus,Genomoviridae
NC_014097.1,Betatorquevirus homini1,Betatorquevirus,Anelloviridae
NC_038572.1,Corriparta virus,Orbivirus,Sedoreoviridae
NC_055302.1,Phlebovirus puniqueense,Phlebovirus,Phenuiviridae
NC_076231.1,Aureusvirus sambuci,Aureusvirus,Tombusviridae
NC_012741.1,Dhakavirus JS10,Dhakavirus,Straboviridae
NC_074407.1,Kyanivirus pelovivens,Kyanivirus,Steitzviridae
NC_078111.1,Reptilian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_038463.1,Soybean blistering mosaic virus,Begomovirus,Geminiviridae
NC_055244.1,Kundal coltivirus,Coltivirus,Spinareoviridae
NC_020859.1,Nerrivikvirus srim2,Nerrivikvirus,Kyanoviridae
NC_075324.1,Gemykibivirus cowchi1,Gemykibivirus,Genomoviridae
NC_073918.1,Condavirus arvihabitans,Condavirus,Fiersviridae
NC_048024.1,Webervirus NJS1,Webervirus,Drexlerviridae
NC_055517.1,Pepper yellow leaf curl Aceh virus,Begomovirus,Geminiviridae
NC_003878.1,Zucchini green mottle mosaic virus,Tobamovirus,Virgaviridae
NC_003310.1,Monkeypox virus,Orthopoxvirus,Poxviridae
NC_020099.1,Acartia tonsa copepod circovirus,Circovirus,Circoviridae
NC_027916.2,Scutavirus testudinidalpha3,Scutavirus,Orthoherpesviridae
NC_034478.1,Orthobunyavirus caraparuense,Orthobunyavirus,Peribunyaviridae
NC_003299.1,Cystovirus phi8,Cystovirus,Cystoviridae
NC_076247.1,Epiphyllum badnavirus 1,Badnavirus,Caulimoviridae
NC_031458.1,Malvastrum bright yellow mosaic virus,Begomovirus,Geminiviridae
NC_073863.1,Andhaxevirus choradaptatum,Andhaxevirus,Fiersviridae
NC_076422.1,Milk vetch dwarf China alphasatellite,Mivedwarsatellite,Alphasatellitidae
NC_043289.1,Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
NC_005852.2,Tomato yellow margin leaf curl virus,Begomovirus,Geminiviridae
NC_074403.1,Kehruavirus terrivivens,Kehruavirus,Steitzviridae
NC_038291.1,Betaarterivirus suid 2,Betaarterivirus,Arteriviridae
NC_007545.1,Rotavirus C,Rotavirus,Sedoreoviridae
NC_025386.1,Salemvirus salemense,Salemvirus,Paramyxoviridae
NC_076200.1,Nigecruvirus ixodes,Nigecruvirus,Chuviridae
NC_005635.1,Horsegram yellow mosaic virus,Begomovirus,Geminiviridae
NC_026830.2,Rotavirus I,Rotavirus,Sedoreoviridae
NC_016563.1,Wphvirus WPh,Wphvirus,Herelleviridae
NC_034168.1,Fall chinook aquareovirus,Aquareovirus,Spinareoviridae
NC_015627.1,Tobacco yellow crinkle virus,Begomovirus,Geminiviridae
NC_076280.1,Gemycircularvirus willde1,Gemycircularvirus,Genomoviridae
NC_025340.1,Sawgrhavirus longisland,Sawgrhavirus,Rhabdoviridae
NC_032119.1,Vernonia crinkle betasatellite,Betasatellite,Tolecusatellitidae
NC_038488.1,Gemycircularvirus ptero5,Gemycircularvirus,Genomoviridae
NC_007067.1,Ageratum yellow vein China betasatellite,Betasatellite,Tolecusatellitidae
NC_007809.1,Pseudomonas virus M6,Yuavirus,Mesyanzhinovviridae
NC_029082.1,Arrabida virus,Phlebovirus,Phenuiviridae
NC_062761.1,Pormufvirus HRTV28,Pormufvirus,Suolaviridae
NC_070690.1,Streptococcus phage P0091,Moineauvirus,Aliceevansviridae
NC_038382.1,Badnavirus alphasacchari,Badnavirus,Caulimoviridae
NC_026944.1,Thetapolyomavirus trepennellii,Thetapolyomavirus,Polyomaviridae
NC_003766.1,Rice dwarf virus,Phytoreovirus,Sedoreoviridae
NC_074087.1,Rusvolovirus asienecus,Rusvolovirus,Fiersviridae
NC_008880.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_048033.1,Pagavirus S05C849,Pagavirus,Autographiviridae
NC_074458.1,Psouhdivirus limicola,Psouhdivirus,Steitzviridae
NC_075564.1,Varicellovirus cervidalpha1,Varicellovirus,Orthoherpesviridae
NC_006500.2,Isavirus salaris,Isavirus,Orthomyxoviridae
NC_047804.1,Sukuvirus RSPII1,Sukuvirus,Autographiviridae
NC_029899.1,Bat mastadenovirus C,Mastadenovirus,Adenoviridae
NC_077204.1,Army ant associated cyclovirus 8,Cyclovirus,Circoviridae
NC_076185.1,Canine protoparvovirus,Protoparvovirus,Parvoviridae
NC_055404.1,Phlebovirus almendrasense,Phlebovirus,Phenuiviridae
NC_076431.1,Circovirus bear,Circovirus,Circoviridae
NC_078409.1,Tenuivirus eurotritici,Tenuivirus,Phenuiviridae
NC_044954.1,African swine fever virus,Asfivirus,Asfarviridae
NC_079100.1,Yezo virus,Orthonairovirus,Nairoviridae
NC_074504.1,Tehnicivirus pelovicinum,Tehnicivirus,Steitzviridae
NC_018071.1,Orthotospovirus phaseolinecrotessellati,Orthotospovirus,Tospoviridae
NC_073787.1,Hysdruvirus telluradaptatum,Hysdruvirus,Atkinsviridae
NC_055720.1,Jiangsuvirus pspyzu05,Jiangsuvirus,Straboviridae
NC_038757.1,Tenuivirus urochloae,Tenuivirus,Phenuiviridae
NC_017938.1,Nepovirus deformationis,Nepovirus,Secoviridae
NC_034561.1,Orthonairovirus sakhalinense,Orthonairovirus,Nairoviridae
NC_011058.1,Chickpea chlorotic dwarf virus,Mastrevirus,Geminiviridae
NC_005775.1,Orthobunyavirus oropoucheense,Orthobunyavirus,Peribunyaviridae
NC_074655.1,Pletoitzamnavirus pescaderoense,Pletoitzamnavirus,Itzamnaviridae
NC_025265.1,Tomato mottle wrinkle virus,Begomovirus,Geminiviridae
NC_074349.1,Gulmivirus arvenecus,Gulmivirus,Steitzviridae
NC_039071.1,Porcine associated porprismacovirus 4,Porprismacovirus,Smacoviridae
NC_030116.1,Penguin siadenovirus A,Siadenovirus,Adenoviridae
NC_043212.1,Equine torovirus,Torovirus,Tobaniviridae
NC_003977.2,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae
NC_026759.1,Artichoke latent virus,Macluravirus,Potyviridae
NC_073999.1,Mekintivirus lutihabitans,Mekintivirus,Fiersviridae
NC_048856.1,Tequintavirus NBSal003,Tequintavirus,Demerecviridae
NC_011062.1,Potato virus T,Tepovirus,Betaflexiviridae
NC_024708.1,Cladosporium cladosporioides polymycovirus 1,Polymycovirus,Polymycoviridae
NC_031284.1,Orthonairovirus tachengense,Orthonairovirus,Nairoviridae
NC_073851.1,Yeshinuvirus humadaptatum,Yeshinuvirus,Atkinsviridae
NC_076024.1,Betanucleorhabdovirus medicagonis,Betanucleorhabdovirus,Rhabdoviridae
NC_052681.1,Quaranjavirus chadense,Quaranjavirus,Orthomyxoviridae
NC_021095.1,White clover cryptic virus 2,Betapartitivirus,Partitiviridae
NC_076608.1,Triniovirus yonagoense,Triniovirus,Xinmoviridae
NC_076786.1,Botoulivirus betaplasmoparae,Botoulivirus,Botourmiaviridae
NC_034520.1,Orthonairovirus khani,Orthonairovirus,Nairoviridae
NC_038478.1,Chickpea yellows virus,Mastrevirus,Geminiviridae
NC_070691.1,Streptococcus phage P3681,Moineauvirus,Aliceevansviridae
NC_034625.1,Usarudivirus SIRV10,Usarudivirus,Rudiviridae
NC_052965.1,Abidjanvirus ZC01,Abidjanvirus,Mesyanzhinovviridae
NC_039069.1,Chimpanzee associated porprismacovirus 2,Porprismacovirus,Smacoviridae
NC_038353.1,Gammatorquevirus homidi6,Gammatorquevirus,Anelloviridae
NC_003535.1,Gammacarmovirus vignae,Gammacarmovirus,Tombusviridae
NC_040753.1,Picobirnavirus sp.,Picobirnavirus,Picobirnaviridae
NC_077134.1,robinz virus RP_584,Cyclovirus,Circoviridae
NC_076458.1,Penicillimonavirus zetaplasmoparae,Penicillimonavirus,Mymonaviridae
NC_070712.1,Streptococcus phage P9903,Moineauvirus,Aliceevansviridae
NC_047900.1,Taipeivirus may,Taipeivirus,Ackermannviridae
NC_004322.1,Tulip virus X,Potexvirus,Alphaflexiviridae
NC_034498.1,Orthobunyavirus madridense,Orthobunyavirus,Peribunyaviridae
NC_034541.1,Hapavirus graylodge,Hapavirus,Rhabdoviridae
NC_021062.1,Pifdecavirus PhiS1,Pifdecavirus,Autographiviridae
NC_074144.1,Yuhrihovirus humenecus,Yuhrihovirus,Fiersviridae
NC_070878.1,Staphylococcus phage JPL-50,Rosenblumvirus,Rountreeviridae
NC_049824.1,Hanrivervirus vojen,Hanrivervirus,Drexlerviridae
NC_043196.1,Chick syncytial virus,Gammaretrovirus,Retroviridae
NC_004046.1,Duamitovirus crpa1,Duamitovirus,Mitoviridae
NC_030928.1,Pradovirus f20,Pradovirus,Autographiviridae
NC_036607.1,Orthotospovirus callaflavi,Orthotospovirus,Tospoviridae
NC_003300.1,Cystovirus phi8,Cystovirus,Cystoviridae
NC_043608.1,Orthobunyavirus tataguineense,Orthobunyavirus,Peribunyaviridae
NC_034165.1,Fall chinook aquareovirus,Aquareovirus,Spinareoviridae
NC_026812.1,Chinook salmon nidovirus 1,Oncotshavirus,Tobaniviridae
NC_003806.1,Dianthovirus meliloti,Dianthovirus,Tombusviridae
NC_055640.1,Actinovirus bernense,Actinovirus,Hantaviridae
NC_004054.1,Unuamitovirus opno6,Unuamitovirus,Mitoviridae
NC_024700.1,Cyclovirus gato,Cyclovirus,Circoviridae
NC_074169.1,Thiuhmevirus pedadaptatum,Thiuhmevirus,Solspiviridae
NC_019511.1,Silviavirus SA11,Silviavirus,Herelleviridae
NC_077769.1,Avibirnavirus gumboroense,Avibirnavirus,Birnaviridae
NC_025848.1,Dendrolimus punctatus cypovirus 22,Cypovirus,Spinareoviridae
NC_038469.1,Tomato interveinal chlorosis virus,Begomovirus,Geminiviridae
NC_076462.1,Piscichuvirus franki,Piscichuvirus,Chuviridae
NC_055626.1,Betachrysovirus coniothyrii,Betachrysovirus,Chrysoviridae
NC_007220.1,Circovirus duck,Circovirus,Circoviridae
NC_077073.1,Fusarium oxysporum ourmia-like virus,Ourmiavirus,Botourmiaviridae
NC_016083.1,Sida yellow mottle virus,Begomovirus,Geminiviridae
NC_008976.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_077669.1,Orthohantavirus sinnombreense,Orthohantavirus,Hantaviridae
NC_003612.1,Grapevine yellow speckle viroid 2,Apscaviroid,Pospiviroidae
NC_021580.1,Rotavirus G,Rotavirus,Sedoreoviridae
AC_000014.1,Fowl aviadenovirus A,Aviadenovirus,Adenoviridae
NC_024329.1,Lauvirus lau218,Lauvirus,Autographiviridae
NC_031959.2,Copiparvovirus ungulate5,Copiparvovirus,Parvoviridae
NC_043351.1,Bracoviriform indiense,Bracoviriform,Polydnaviriformidae
NC_055475.1,Eclipta yellow vein alphasatellite,Gosmusatellite,Alphasatellitidae
NC_003494.1,Infectious spleen and kidney necrosis virus,Megalocytivirus,Iridoviridae
NC_003794.1,Strawberry mild yellow edge virus,Potexvirus,Alphaflexiviridae
NC_012484.1,Marafivirus syrahense,Marafivirus,Tymoviridae
NC_030309.1,Momordica yellow mosaic betasatellite,Betasatellite,Tolecusatellitidae
NC_008888.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_024505.1,Umatilla virus,Orbivirus,Sedoreoviridae
NC_048683.1,Chivirus KFSSE1,Chivirus,Casjensviridae
NC_038350.1,Gammatorquevirus homidi3,Gammatorquevirus,Anelloviridae
NC_019510.1,Elunavirus L1,Elunavirus,Autographiviridae
NC_075309.1,Gemykolovirus easlu1,Gemykolovirus,Genomoviridae
NC_027133.1,Kenaf leaf curl betasatellite,Betasatellite,Tolecusatellitidae
NC_055597.1,Tomato yellow spot alphasatellite 2,Clecrusatellite,Alphasatellitidae
NC_004215.1,Kadipiro virus,Seadornavirus,Sedoreoviridae
NC_077155.1,Erannis ankeraria nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
NC_076524.1,Duamitovirus soch1,Duamitovirus,Mitoviridae
NC_014407.1,Deltapolyomavirus septihominis,Deltapolyomavirus,Polyomaviridae
NC_039197.1,Pararubulavirus menangleense,Pararubulavirus,Paramyxoviridae
NC_023885.1,Circovirus mink,Circovirus,Circoviridae
NC_019725.1,Tunavirus ADB2,Tunavirus,Drexlerviridae
NC_043165.1,Sunflower mosaic virus,Potyvirus,Potyviridae
NC_009010.1,Dioscorea bacilliform virus,Badnavirus,Caulimoviridae
NC_036618.1,Deltainfluenzavirus influenzae,Deltainfluenzavirus,Orthomyxoviridae
NC_040635.1,Badnavirus volubetulae,Badnavirus,Caulimoviridae
NC_021337.1,Friunavirus AB3,Friunavirus,Autographiviridae
NC_076502.1,Aqualaruvirus sialis,Aqualaruvirus,Crepuscuviridae
NC_078891.1,Orthobunyavirus timboteuaense,Orthobunyavirus,Peribunyaviridae
NC_074453.1,Pohlodivirus arvihabitans,Pohlodivirus,Steitzviridae
NC_038839.1,Heterobasidion partitivirus 2,Betapartitivirus,Partitiviridae
NC_060103.1,Cucumber chlorotic leaf virus,Begomovirus,Geminiviridae
NC_040769.1,Trichoderma harzianum orthocurvulavirus 1,Orthocurvulavirus,Curvulaviridae
NC_055251.1,Tarumizu coltivirus,Coltivirus,Spinareoviridae
NC_078629.1,Cicadellivirus scaphoidei,Cicadellivirus,Phasmaviridae
NC_031943.1,Kayfunavirus GA2A,Kayfunavirus,Autographiviridae
NC_005986.1,Palyam virus,Orbivirus,Sedoreoviridae
NC_078020.1,Pistacia emaravirus,Emaravirus,Fimoviridae
NC_043093.1,Bovine mastadenovirus C,Mastadenovirus,Adenoviridae
NC_076941.1,Jeilongvirus rungweense,Jeilongvirus,Paramyxoviridae
NC_029922.1,Tilapinevirus tilapiae,Tilapinevirus,Amnoonviridae
NC_028925.1,Gaprivervirus vr25,Gaprivervirus,Straboviridae
NC_030842.1,Frog virus 3,Ranavirus,Iridoviridae
NC_078091.1,Uukuvirus dermacentoris,Uukuvirus,Phenuiviridae
NC_038591.1,Eubenangee virus,Orbivirus,Sedoreoviridae
NC_038532.1,Aquambidensovirus asteroid1,Aquambidensovirus,Parvoviridae
NC_006003.1,St Croix River virus,Orbivirus,Sedoreoviridae
NC_076489.1,Alphahymrhavirus cinereus,Alphahymrhavirus,Rhabdoviridae
NC_078241.1,Xinspivirus xinzhouense,Xinspivirus,Nairoviridae
NC_076572.1,Duamitovirus hean1,Duamitovirus,Mitoviridae
NC_007723.1,Tomato leaf curl Joydebpur virus,Begomovirus,Geminiviridae
NC_074148.1,Dilzevirus borborohabitans,Dilzevirus,Solspiviridae
NC_028259.1,Mivirus boleense,Mivirus,Chuviridae
NC_078123.1,Phlebovirus bujaruense,Phlebovirus,Phenuiviridae
NC_010949.1,Tomato yellow vein streak virus,Begomovirus,Geminiviridae
NC_004121.1,Spring beauty latent virus,Bromovirus,Bromoviridae
NC_043580.1,Orthobunyavirus bataiense,Orthobunyavirus,Peribunyaviridae
NC_037613.1,Phlebovirus zerdaliense,Phlebovirus,Phenuiviridae
NC_003818.1,Subterranean clover stunt alphasatellite 2,Clostunsatellite,Alphasatellitidae
NC_028230.1,Arurhavirus inhangapi,Arurhavirus,Rhabdoviridae
NC_076917.1,Carlavirus SCV1,Carlavirus,Betaflexiviridae
NC_022052.1,Lumosvirus whirlwind,Lumosvirus,Vilmaviridae
NC_029804.1,Deinbollia mosaic virus,Begomovirus,Geminiviridae
NC_035468.1,Murmansk microtuspox virus,Centapoxvirus,Poxviridae
NC_055432.1,Ixovirus ixodis,Ixovirus,Phenuiviridae
NC_023009.1,Kayvirus Sb1,Kayvirus,Herelleviridae
NC_078414.1,Emaravirus camelliae,Emaravirus,Fimoviridae
NC_001440.1,Cucumber mosaic virus,Cucumovirus,Bromoviridae
NC_020235.1,Rosellinia necatrix partitivirus 2,Alphapartitivirus,Partitiviridae
NC_040802.1,Lily virus Y,Potyvirus,Potyviridae
NC_004656.2,East African cassava mosaic Zanzibar virus,Begomovirus,Geminiviridae
NC_026514.1,Asystasia mosaic Madagascar virus,Begomovirus,Geminiviridae
NC_055107.1,Ophiovirus freesiae,Ophiovirus,Aspiviridae
NC_038856.1,Emaravirus cercidis,Emaravirus,Fimoviridae
NC_062762.1,Dpdavirus HRTV29,Dpdavirus,Haloferuviridae
NC_074495.1,Suhnsivirus arvicola,Suhnsivirus,Steitzviridae
NC_038564.1,Corriparta virus,Orbivirus,Sedoreoviridae
NC_070713.1,Streptococcus phage STP1,Moineauvirus,Aliceevansviridae
NC_068555.1,Efbeekayvirus Fbkp27,Efbeekayvirus,Schitoviridae
NC_014904.1,Tuber aestivum betaendornavirus,Betaendornavirus,Endornaviridae
NC_038500.1,Gemykibivirus rhina2,Gemykibivirus,Genomoviridae
NC_004662.1,Sida yellow vein virus,Begomovirus,Geminiviridae
NC_002567.1,Cypovirus 15,Cypovirus,Spinareoviridae
NC_004654.1,Tobacco leaf curl Japan virus,Begomovirus,Geminiviridae
NC_078346.1,Phlebovirus embossosense,Phlebovirus,Phenuiviridae
NC_048829.1,Pippivirus lotta,Pippivirus,Winoviridae
NC_078168.1,Orthonairovirus soldadoense,Orthonairovirus,Nairoviridae
NC_048088.1,Kyungwonvirus CS01,Kyungwonvirus,Drexlerviridae
NC_021630.1,Rotavirus F,Rotavirus,Sedoreoviridae
NC_008004.1,Ichnoviriform sonorense,Ichnoviriform,Polydnaviriformidae
NC_004625.1,East African cassava mosaic Cameroon virus,Begomovirus,Geminiviridae
NC_005223.1,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae
NC_003381.1,Badnavirus deltavirgamusae,Badnavirus,Caulimoviridae
NC_018076.1,Dyopipapillomavirus 1,Dyopipapillomavirus,Papillomaviridae
NC_074333.1,Gredihovirus solihabitans,Gredihovirus,Steitzviridae
NC_038295.1,Fathead minnow nidovirus 1,Bafinivirus,Tobaniviridae
NC_013117.1,Dyoepsilonpapillomavirus 1,Dyoepsilonpapillomavirus,Papillomaviridae
NC_054944.1,Tequatrovirus pyps2t,Tequatrovirus,Straboviridae
NC_008304.1,Euphorbia mosaic virus,Begomovirus,Geminiviridae
NC_043343.1,Bracoviriform indiense,Bracoviriform,Polydnaviriformidae
NC_034442.1,Pegivirus suis,Pegivirus,Flaviviridae
NC_026014.1,Xuanwuvirus P88,Xuanwuvirus,Peduoviridae
NC_033759.1,Hubavirus myriapedis,Hubavirus,Mypoviridae
NC_024769.1,Megrivirus C,Megrivirus,Picornaviridae
NC_070681.1,Streptococcus phage CHPC930,Moineauvirus,Aliceevansviridae
NC_014716.1,Southern rice black-streaked dwarf virus,Fijivirus,Spinareoviridae
NC_038413.1,Cyclovirus manukha,Cyclovirus,Circoviridae
NC_002207.1,Betainfluenzavirus influenzae,Betainfluenzavirus,Orthomyxoviridae
NC_055063.1,Paulavirus viph1044o,Livvievirus,Autolykiviridae
NC_074423.1,Luloavirus caenihabitans,Luloavirus,Steitzviridae
NC_003614.1,Orthotospovirus arachinecrosis,Orthotospovirus,Tospoviridae
NC_076535.1,Tapjovirus bothropis,Tapjovirus,Filoviridae
NC_011765.1,Dyoetapapillomavirus 1,Dyoetapapillomavirus,Papillomaviridae
NC_074371.1,Hohrdovirus pedovivens,Hohrdovirus,Steitzviridae
NC_055379.1,Phlebovirus dashliense,Phlebovirus,Phenuiviridae
NC_073840.1,Sdonativirus humihabitans,Sdonativirus,Atkinsviridae
NC_019399.1,Tequatrovirus c40,Tequatrovirus,Straboviridae
NC_047783.1,Drulisvirus KpV48,Drulisvirus,Autographiviridae
NC_024702.1,Socyvirus heteroderae,Socyvirus,Nyamiviridae
NC_074285.1,Chlurivirus chorocola,Chlurivirus,Steitzviridae
NC_004424.1,Broad bean necrosis virus,Pomovirus,Virgaviridae
NC_047710.1,Pedosvirus S28C3,Pedosvirus,Autographiviridae
NC_033820.1,Bat sapelovirus,Sapelovirus,Picornaviridae
NC_070680.1,Streptococcus phage CHPC928,Moineauvirus,Aliceevansviridae
NC_076729.1,Alphahypovirus sacchari,Alphahypovirus,Hypoviridae
NC_070716.1,Streptococcus phage SW12,Moineauvirus,Aliceevansviridae
NC_047730.1,Kayvirus G1,Kayvirus,Herelleviridae
NC_074338.1,Gredihovirus telluricola,Gredihovirus,Steitzviridae
NC_026622.1,Unuamitovirus fuco1,Unuamitovirus,Mitoviridae
NC_042068.1,Cystovirus phiNN,Cystovirus,Cystoviridae
NC_078944.1,Orthobunyavirus maritubaense,Orthobunyavirus,Peribunyaviridae
NC_049449.1,Felsduovirus ST437OXA245phi42,Felsduovirus,Peduoviridae
NC_047863.1,Tunavirus ISF001,Tunavirus,Drexlerviridae
NC_078366.1,Emaravirus perillae,Emaravirus,Fimoviridae
NC_076403.1,Porprismacovirus leo1,Porprismacovirus,Smacoviridae
NC_014847.1,Okra leaf curl India virus,Begomovirus,Geminiviridae
NC_043120.1,Eupatorium yellow vein virus,Begomovirus,Geminiviridae
NC_055134.1,Tomato leaf curl Karnataka virus 3,Begomovirus,Geminiviridae
NC_023631.1,Bovine astrovirus B18/HK,Mamastrovirus,Astroviridae
NC_074609.1,Gredihovirus edaphovivens,Gredihovirus,Steitzviridae
NC_010256.1,Mammarenavirus bearense,Mammarenavirus,Arenaviridae
NC_038925.1,Tomato leaf curl Laos betasatellite,Betasatellite,Tolecusatellitidae
NC_008302.1,Orthotospovirus capsiciflavi,Orthotospovirus,Tospoviridae
NC_038660.1,Nelson Bay orthoreovirus,Orthoreovirus,Spinareoviridae
NC_077062.1,Chestnut teal chaphamaparvovirus 1,Chaphamaparvovirus,Parvoviridae
NC_048630.1,Melvirus helgolandense,Melvirus,Zobellviridae
NC_038565.1,Corriparta virus,Orbivirus,Sedoreoviridae
NC_038977.1,Sclerotinia deltaflexivirus 1,Deltaflexivirus,Deltaflexiviridae
NC_078126.1,Aspergillus fumigatus polymycovirus 1,Polymycovirus,Polymycoviridae
NC_078634.1,Orthodiscovirus iberiae,Orthodiscovirus,Discoviridae
NC_040321.1,Grondvirus lorian,Grondvirus,Vilyaviridae
NC_002229.3,Mardivirus gallidalpha2,Mardivirus,Orthoherpesviridae
NC_048177.1,Bonnellvirus lidtsur,Bonnellvirus,Autographiviridae
NC_040370.1,Gemycircularvirus denpo1,Gemycircularvirus,Genomoviridae
NC_005991.1,Palyam virus,Orbivirus,Sedoreoviridae
NC_054898.2,Vibrio virus 2019VC1,Jhansiroadvirus,Drexlerviridae
NC_028688.1,Przondovirus Kp1,Przondovirus,Autographiviridae
NC_038610.1,Orungo virus,Orbivirus,Sedoreoviridae
NC_003672.1,Peanut clump virus,Pecluvirus,Virgaviridae
NC_041971.1,Reyvirus rey,Reyvirus,Vilmaviridae
NC_025849.1,Dendrolimus punctatus cypovirus 22,Cypovirus,Spinareoviridae
NC_078867.1,Hymovirus chrysis,Hymovirus,Phasmaviridae
NC_001633.1,Mushroom bacilliform virus,Barnavirus,Barnaviridae
NC_043161.1,Ranunculus mosaic virus,Potyvirus,Potyviridae
NC_007985.1,Ichnoviriform sonorense,Ichnoviriform,Polydnaviriformidae
NC_040549.1,Luteovirus sociomali,Luteovirus,Tombusviridae
NC_052684.1,Quaranjavirus chadense,Quaranjavirus,Orthomyxoviridae
NC_010318.1,Abaca bunchy top virus,Babuvirus,Nanoviridae
NC_076936.1,Sunrhavirus ouango,Sunrhavirus,Rhabdoviridae
NC_023886.1,Cyclovirus kisikisi,Cyclovirus,Circoviridae
NC_008373.1,Tomato leaf curl Guangdong virus,Begomovirus,Geminiviridae
NC_047954.1,Uliginvirus njord,Uliginvirus,Autographiviridae
NC_027983.1,Tequatrovirus ar1,Tequatrovirus,Straboviridae
NC_029031.1,Aegirvirus SCBP42,Aegirvirus,Autographiviridae
NC_011069.1,Ourmia melon virus,Ourmiavirus,Botourmiaviridae
NC_037576.1,Maize rough dwarf virus,Fijivirus,Spinareoviridae
NC_014462.1,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae
NC_047919.1,Rosenblumvirus AGO13,Rosenblumvirus,Rountreeviridae
NC_004002.1,Sheeppox virus,Capripoxvirus,Poxviridae
NC_012546.1,Homalodisca vitripennis reovirus,Phytoreovirus,Sedoreoviridae
NC_032144.1,Lincruvirus wenlingense,Lincruvirus,Cruliviridae
NC_043139.1,Araujia mosaic virus,Potyvirus,Potyviridae
NC_038970.1,Whitefly-associated begomovirus 4,Begomovirus,Geminiviridae
NC_074141.1,Yuhrihovirus borborohabitans,Yuhrihovirus,Fiersviridae
NC_047800.1,Ayakvirus Ap1,Ayakvirus,Autographiviridae
NC_074587.1,Gredihovirus agrivivens,Gredihovirus,Steitzviridae
NC_025356.1,Sprivivirus esox,Sprivivirus,Rhabdoviridae
NC_076727.1,Waikavirus actinidiae,Waikavirus,Secoviridae
NC_039044.1,Bocaparvovirus carnivoran5,Bocaparvovirus,Parvoviridae
NC_055877.1,Fohxhuevirus gastrointestinalis,Fohxhuevirus,Intestiviridae
NC_073875.1,Bertavirus lutihabitans,Bertavirus,Fiersviridae
NC_038270.1,Respirovirus pneumoniae,Respirovirus,Paramyxoviridae
NC_038473.1,Tomato leaf curl Uganda virus,Begomovirus,Geminiviridae
NC_001676.1,Alphapapillomavirus 13,Alphapapillomavirus,Papillomaviridae
NC_040518.1,Stemphylium lycopersici mycovirus,Alternavirus,Alternaviridae
NC_043602.1,Pacuvirus pacuiense,Pacuvirus,Peribunyaviridae
NC_025371.1,Sprivivirus esox,Sprivivirus,Rhabdoviridae
NC_049961.1,Harambevirus beachbum,Harambevirus,Salasmaviridae
NC_055296.1,Phlebovirus salehabadense,Phlebovirus,Phenuiviridae
